time,20250123_1,20250123_2,20250123_3,20250123_4,20250123_5,20250123_6,20250124_1,20250124_2,20250124_3,20250124_4,20250124_5,20250124_6,20250124_7,20250124_8,20250124_9,20250221_1,20250221_2,20250221_3,20250221_4,20250221_5,20250221_6,20250221_7,20250221_8,mean,se
0.002,0.7990109872129333,,0.7785672006821285,0.8315560357317272,0.8020229823488744,0.8021632768404886,0.7935280251701258,0.7041148543978003,0.7459067049465252,0.7716846302727871,,0.7260126747925483,,0.7100088481091262,,,0.7374560264049768,0.759368562212632,0.7902172943099441,0.6962709747402275,0.802811694118907,,0.7842916894716737,0.7667642624566721,0.039028957176221256
0.0022,0.7330754014054786,,0.7319298062889174,0.7660406800071952,0.7444514248185157,0.7749555469812669,,,0.7966296199972926,,0.6852042001627713,0.6359324040240812,0.758157095154975,0.6663028516857535,0.6717357996286794,,0.7562817901243777,0.749006617389484,0.6985803752116777,0.7627454205052838,0.794380482934922,0.8136015510168949,0.7843767968122842,0.7401882146749919,0.048543023562472455
0.0024,0.7122065073294225,,0.6684082046524394,0.7047362547180155,0.7476690231557065,,0.6793980086940206,0.7528060916993643,0.7481422194114115,0.6382368495896307,0.6318413398745765,0.6865950051268845,0.6632341087095265,0.6338815286203786,0.7076967774356605,,0.6995321366330034,0.7260596289805211,0.6689305191752818,0.6691462435604967,,,,0.6905012027862554,0.037930076872476313
0.0026,,,0.8018731333469602,0.807350929199172,0.8016446922883286,,,0.704867454767652,0.7828830231860527,0.6734361123794502,0.63594676517021,,0.6949853181172976,0.6625119603985155,,,0.7311469704454949,0.7057845132599717,0.6702173019252002,0.7412924844743122,,0.7513854184357681,,0.7260947198138847,0.05481742288178869
0.0028,,,,,0.7429602528070007,0.7302699295941137,0.7029260897060984,0.6848457742085501,0.7411674014821492,0.6731338380518538,0.6989402748031114,0.7356419537411121,0.6569162887910862,0.6227065909294668,0.6277783923379654,,0.7130199470365702,0.6779217097261984,0.735120188023159,0.7664517873525386,,0.767827658940902,0.6931522110511499,0.7041635463872369,0.042283040657950605
0.003,0.7050284148413382,,,0.7717035461472865,,,0.7448744973169955,0.6703735691700391,0.6950068224552778,0.6743448788105468,,0.6924051500618588,0.7206073803358589,0.6215372534428969,,,0.6998613213355344,0.6520904846726098,0.7148596889769012,0.7421281596633018,,0.760019931649836,,0.7046315070628774,0.04050838379107214
0.0032,,,0.7280269369161309,0.7807435595440826,0.7877495379076921,0.7191523835737809,0.7498014948341006,0.6857093027399166,,,,0.7109671549533512,0.6605893445300777,,0.7050544519646734,,0.7507103460862725,0.7038854723362844,,0.6750334031449643,,0.7471597240919746,,0.7234294702017923,0.03726521488182875
0.0034,0.6244134587670206,,0.6418999179754911,,0.6960608217990077,,0.7883682498216291,0.6943829553747498,,0.6869972233322824,,0.6774961504487348,0.6483147761796096,0.6308916022531659,,,0.7771327352648991,,0.7687881350388046,0.7367546567269031,0.7349809562291912,,0.7922200802490917,0.7070501228186129,0.057403528701080044
0.0036,,,,,0.6830718287289901,0.7231551899602234,0.7088939448467889,0.5664925879611442,,0.6191922994408081,0.5799255391360923,0.6619883073555072,0.6788880772771714,,0.583102242450364,,0.6611611353906394,0.6149630183143784,0.7313301065814255,0.7249544553737495,,,0.7436922563459908,0.6629150706545195,0.05869319569334231
0.0038,0.6479491185091647,,0.6693947993917376,,0.7046292293337758,0.6339809802173864,,0.6191297938109359,0.6359084708533175,0.597204125187165,0.5890796910975645,0.5927429696546962,0.6274774350739446,,0.5969279910583019,,0.6713306606829637,0.6443295354270969,,0.6492825480700408,0.6939849559832592,,,0.6382234869567568,0.034848123190419994
0.004,0.6282316764237406,,0.6165323877507064,,0.6722410487386474,,,0.7094970699816635,0.6930842731459677,,,0.6299035978036605,0.6234281126834668,,0.6046304743687966,,0.7346069621358258,0.705107695742754,0.6114339464254664,0.7090742841205158,0.642140127406224,0.6943947213991114,0.6314116414016104,0.6603812013018773,0.04210071190999366
