time,20250124_1,20250124_2,20250124_3,20250124_4,20250124_5,20250124_6,20250218_1,20250218_2,20250218_3,20250218_4,20250218_5,20250218_6,20250218_7,20250218_8,20250218_9,20250218_10,20250218_11,20250219_1,20250219_2,20250219_3,20250219_4,20250219_5,20250219_6,20250219_7,20250219_8,20250219_9,20250219_10,20250219_11,20250219_12,20250219_13,mean,se
0.001,,,0.4242203435085319,,,0.4604078422815636,0.5066782840611336,0.5216775649826458,0.48603558321588397,0.4947640682587077,,0.5569789915830768,0.7097182538370743,0.755708332633495,0.5523794677009229,0.46422791348037573,0.5894781831150804,0.5769692409412619,,0.5204826278322217,0.7815118590476537,0.5511618218598155,0.4936333744688751,0.5824061602405474,0.6616364650647627,0.5776217995923177,0.569214330650359,,0.6509878674877823,,0.5676318352656404,0.09215681242582388
0.0011,0.4325922956789341,,0.5187016544229242,0.48315728495638743,0.48262435473572224,,0.5076332339349011,0.5592834027799479,,0.4517234417896081,,0.5216558401157732,0.5345118515304784,0.7522092005649276,0.6465440637838693,0.4589968764086132,0.635303360129375,,0.5828313386268629,0.6557518775938027,0.6096061144348485,0.5461542988538322,0.5339642545191827,0.4969141948913201,,0.5634115471290391,0.5670973287670203,0.47545010466222093,0.6294857924156783,0.6345659681527512,0.5533404033699175,0.07644648554319268
0.0012,0.5096144473635401,0.49886322119121884,0.4946154500937421,0.5946815297004538,0.45656526271888176,,0.6230949057156365,0.42237943528143795,0.521316265135499,0.4876729089512804,0.4222515595115015,0.6061896795734465,,,0.6549934579327752,,0.6046162186735802,0.5955739817789449,0.45581714300010356,0.5793067486816128,0.6201562672914188,,0.48691725761339855,0.5437929597117942,0.6761434540627691,0.6268506462740319,0.5250005706099815,0.5659196718590963,0.6230602995296887,,0.5498080559273265,0.07264077363549737
0.0013,,,0.4713979364950201,0.507519225244095,0.6031154846998409,0.4107755640458629,,0.3884347734323899,0.4479051919714387,0.45810347400598833,0.565969192762962,0.5766765759253928,0.5351838255551095,,0.5522496371622172,,,0.4134389374326455,,0.6364098638969212,0.613553926383471,0.5123948101475898,0.47428944525767686,0.584680800532074,0.6116071918126111,0.4850911022996358,0.5269955443145011,0.5235682715271276,0.6813890465923014,,0.5263977191589487,0.07660352739131777
0.0014,,,0.3802889744065877,0.5257113154292891,0.46566143525188775,,,0.47315120661499277,0.4924214162790106,0.3989004393405486,,0.43557924373466755,0.5348667425220884,0.6003193751850875,,0.4764335707518092,0.4689285675113496,0.48481155788668956,0.46627891406627553,0.42348609204894017,0.5199789544117145,0.4722711751159909,0.5044945875179321,0.48941033374499493,0.46415367919909084,0.5521839876492386,0.41771319235948323,0.45100230107597755,0.6042227942493257,,0.48270738505882493,0.055092036693950235
0.0015,,,0.35563793768423674,,0.5406905004976043,0.41007044072752297,,,0.461542986163319,0.36783746063196643,0.4438058642429574,0.4528638987338144,0.4679513927141478,0.7129029216271344,0.4176913019976111,0.4044142222612414,0.4384455267638023,,0.4508099035351606,0.4478854342011078,0.6721524929092826,,0.5167586565310548,0.4735451851103629,0.6291916409806707,0.49299986644701427,0.494993647152858,,0.42774663688493053,0.5938910499746982,0.48517404398965913,0.09112469288034554
0.0016,,,,,,,,0.4507208230523871,,0.4219993113077304,0.383764712958364,0.5200953440470031,,0.6199444999943342,0.3776071663229788,0.398957381899033,0.41457238499123955,0.3816554939108837,0.42528060267026724,0.49583007837923027,0.465092956823732,0.3836753574956311,0.3781029186828515,0.43554179774056195,,0.5597917737996491,0.46491745070284923,0.47379818197089185,,0.5537976021111113,0.45290241257161723,0.06840735346782405
0.0017,,,,,,,0.42308375072784427,0.35301918424122397,0.36773652251494354,0.43573464778663223,0.42409051128283004,0.4598797237542445,0.3951047492422454,0.5872022858299698,0.4744306307290863,0.4726772035893311,0.4307779460669576,0.4864823743646008,0.5528610846674344,0.41397188529722434,0.5493001094528813,,0.39128717245071354,0.47564128008012635,0.5803756291135584,0.4347706458040727,0.36047992985038807,0.5399416229877437,0.5708187177839266,,0.4627121639826354,0.07158518164542481
0.0018,,,,,,,,0.3583959561529418,0.35002292618367375,,0.3310697301109422,0.4431782237319045,,0.6082708073829686,0.5290445822319217,0.35973942841856577,0.3822571984127453,0.4073548172140637,0.4934907299868468,0.4972532621634185,,0.4067319347799232,,0.4410362674756301,0.4471939125585289,0.5245772573767121,,0.46951846583746987,0.5466177804089206,0.5318355928827412,0.4515327151838843,0.0769008019209353
0.0019,,,,,,,,0.4264362366421138,0.33522691117064496,0.319768913783344,0.45871964332331683,,0.43265553624504266,,0.4749997712432661,0.3741502771413109,,0.40315810290457854,0.3775779779677051,0.5084595091521517,0.5848678907495274,0.40303803085895573,0.4371609778267681,0.45505562647299364,0.5099645368630694,0.5334680778924132,0.3742735094984082,,0.5250170891099236,,0.44077770104697417,0.0704268327292428
0.002,,,,,,,0.4502853189680091,0.3845447766386208,0.40560115358897597,0.37047867225554254,0.375998389493214,0.4356479583575972,0.4978878864842137,0.6309121563672387,0.47438615725460886,0.3668348209552555,0.43670972537987657,,0.46913168035577596,0.5100329418199652,0.5524969489783448,0.47770608884060345,,,0.5043489872627981,,0.4682034652486857,0.4279062753774991,0.4742660018672977,,0.45859891607863806,0.06455201852140599
