k,20241220,20250102,20250103,mean,se
-0.3367557927313961,0.3201021933776918,0.3495015995137874,0.4044792961041502,0.3580276963318765,0.03497041236380071
-0.2694046341851169,0.3195866595707035,0.3757093440818944,0.402632744660218,0.3659762494376053,0.03459492169562596
-0.2020534756388377,0.3206630985616905,0.3623958918301553,0.4168378701952221,0.366632286862356,0.03937729427679637
-0.1347023170925584,0.3230726332226801,0.3969635805975136,0.4164570746948489,0.3788310961716808,0.04022232979210287
-0.0673511585462792,0.3248064185803348,0.3902578027038889,0.4171409144115281,0.37740171189858396,0.03877605862037251
0.0,0.3104015934837933,0.387556273999073,0.4113152106583473,0.3697576927137379,0.04307730767384858
0.0673511585462792,0.3103614015098502,0.3705846771357523,0.4067327528948045,0.362559610513469,0.03975056068920829
0.1347023170925584,0.3225186428435233,0.3606630115647612,0.3980457744032771,0.3604091429371872,0.030834344891923576
0.2020534756388377,0.325735559159289,0.377764596286746,0.3898408351490491,0.36444699686502807,0.02781355117203167
0.2694046341851169,0.3056894145385452,0.3619103183931914,0.4034928910694814,0.3570308746670727,0.040076898862824666
0.3367557927313961,,0.3713021075947853,0.3829953588980432,0.3771487332464143,0.0058466256516289394
0.4041069512776754,0.2828050373437228,0.3566978395690988,0.3760830257121924,0.338528634208338,0.040189433073037246
0.4714581098239546,0.2808876129073298,0.3440592192028449,0.3771085868181203,0.3340184729760984,0.03991851194352233
0.5388092683702338,0.2763287605657193,0.3245168516733679,0.3692332283056866,0.32335961351492465,0.03793691633601036
0.6061604269165131,,0.3381495411855969,0.3512892532156131,0.344719397200605,0.006569856015008091
0.6735115854627922,0.264089137419475,0.3203967449155607,0.3707624901667114,0.318416124167249,0.0435717277638881
0.7408627440090715,0.2345386808157882,0.3017446026982707,0.3454710411399598,0.29391810821800624,0.045624829889437536
0.8082139025553507,,0.3097244294892198,0.3217715600085514,0.3157479947488856,0.006023565259665797
0.8755650611016299,0.2294100829102999,0.306807730447751,0.3249075710464414,0.28704179480149744,0.041416274732340025
0.9429162196479092,,0.3160930276665125,0.31977433097738,0.31793367932194627,0.0018406516554337615
1.0102673781941884,,0.299750021998285,0.3148447248160229,0.3072973734071539,0.007547351408868946
1.0776185367404676,0.1941505086273121,0.2806131814627723,0.2999073580544377,0.2582236827148407,0.04598619387617442
1.1449696952867467,,0.2859901992703829,0.2895012687325295,0.2877457340014562,0.001755534731073316
1.212320853833026,0.1949580102036321,0.2801798595440291,0.3000243174954305,0.2583873957476972,0.04557715685676674
1.2796720123793053,0.189754219608021,0.2653370912290005,0.2926044779385307,0.24923192959185073,0.043505371953221184
1.3470231709255844,0.1976982052093613,0.2305506545900603,0.3026756672148006,0.24364150900474071,0.0438451421425881
1.4143743294718636,,0.2630381902726181,0.2757344095700717,0.2693862999213449,0.006348109648726813
1.481725488018143,0.1377975482815301,0.1791542582610125,0.280846294320708,0.19926603362108355,0.06010600949958207
1.549076646564422,0.1361803140304752,0.209656469302118,0.279072031707167,0.20830293834658672,0.058343150295954674
1.6164278051107015,0.0976808773040103,0.2333976775581679,0.2736205496155395,0.20156636815923923,0.07527113774796558
1.6837789636569804,0.1066325243785402,0.2295176243998682,0.2587679045253903,0.1983060177679329,0.06591366456467453
1.7511301222032598,0.1038337643705622,0.2030828265331362,0.2320906450127462,0.17966907863881487,0.05491575093334629
1.818481280749539,0.1107087635921102,0.2374983112505573,0.2785220422189562,0.2089097056872079,0.0714297108908025
