pos,20241220,20250102,20250103,mean,se
0.6350753657499332,0.2059451995748286,0.1021735727427885,0.1786714401461985,0.1622634041546052,0.04392459726750007
0.6685003849999297,0.2102230159718446,0.1223080936705566,0.1532040721787754,0.16191172727372552,0.03641543476558472
0.7019254042499261,0.2096013833563527,0.1202848199904162,0.1432440876855068,0.15771009701075855,0.03787093161625013
0.7353504234999226,0.2051119952268501,0.1187679690291448,0.146333847548455,0.15673793726814997,0.03600931849007145
0.7687754427499192,0.1997299487655004,0.1114065035932146,0.1801371153561929,0.1637578559049693,0.037872310438307626
0.8022004619999156,0.190725809449464,0.0995265410210234,0.1601206310672163,0.15012432717923455,0.0378969762121496
0.8356254812499121,0.1827496775405663,,0.1734427655904943,0.1780962215655303,0.004653455975036011
0.8690505004999085,0.1630362018302479,0.1155234644082586,0.1537244007448176,0.14409468899444136,0.020557457132457248
0.902475519749905,0.1811539758021007,0.1223441860523298,0.1454946819707001,0.14966428127504353,0.024189350430470432
0.9359005389999016,0.1769720291210444,0.1405830878997112,0.1564555750183948,0.15800356401305013,0.014895994165056397
0.969325558249898,0.1656586750410244,0.1108013596555754,0.133627766590984,0.13669593376252795,0.02250024444562118
1.0027505774998944,0.1476518360568259,,0.1522131808509769,0.1499325084539014,0.002280672397075495
1.036175596749891,0.1643922342389969,0.1055492021513626,0.1505244957138553,0.14015531070140494,0.025116602804830235
1.0696006159998874,0.1574362093263855,,0.1565373430401679,0.1569867761832767,0.00044943314310880167
1.103025635249884,0.1678495019328131,0.110784016953924,0.136147093370276,0.13826020408567105,0.023344754180766068
